ID,X,Y,Name,Age
58601,4565,6521,Samantha Brown MD,84
20788,8020,2174,Michael Green,96
55866,3296,5421,Bruce Smith,89
46637,472,8965,Loretta Gomez,87
55751,2019,7510,Brenda Beltran,31
16989,5265,6786,Kimberly Kaufman,87
75355,3979,6618,Vanessa Webster,54
73846,3904,7230,Angela Howard,55
97621,4154,1553,Dr. Nicholas Smith,62
90721,1859,2560,Shannon Frederick,18
70473,3333,1755,Teresa Cook DDS,47
63401,6276,7589,Barbara Duncan,30
98857,8629,6708,Robert Duffy,24
20435,9686,2726,Timothy Clark,82
96147,9527,5164,Emily Hart,43
13804,338,4341,Christy Summers,57
33205,2712,5177,Rebecca Christian,71
59045,9363,6974,Jennifer Williams,17
82113,367,7813,Marc Dunn,56
50404,3554,8412,Rachael Kim,15
10394,448,6239,Emily Tucker,97
92961,7443,6287,Stephanie Le,70
81825,9410,5416,Christopher Price,90
8063,680,728,David Rojas,23
75445,9702,2805,Jerry Stout,51
52009,7071,4946,Jesse Gaines,70
84029,2988,5372,Amanda Lloyd,14
5053,658,4098,Julia Manning,10
2834,2965,9965,Jennifer Collins,49
25175,3958,2004,Darryl Harris,14
62798,6459,1275,Colleen Smith,50
3078,1108,3315,Amanda Smith,93
93460,4110,3231,Kimberly Rodriguez,38
8895,8951,511,Derek Robinson,77
20777,9422,8565,Gregory Brown,31
41380,8371,6419,Lisa Lopez,87
34943,4050,5353,William Kirby,13
8214,4615,5792,Donald Gonzalez,38
8123,2378,3522,Jessica Jacobs,97
69321,1984,3568,Michael Reyes,28
55621,9192,6462,Jasmine Marquez,43
16536,4696,4265,Justin Aguilar,57
43818,1448,7289,Darryl Diaz,84
71752,5078,2172,Matthew Butler,66
14001,8935,3120,William West,39
6542,1020,9161,Sarah Perry,50
24127,7068,6738,Gina Dunlap,53
65755,2349,1470,Samuel Day,95
70982,2250,7646,Anthony Le,48
72414,7902,8728,Frank Jones,80
20419,6622,7084,Christina Martin,81
65102,2608,6741,Mrs. Sara Scott,47
17276,2526,7120,Kathleen Jones,89
20348,966,9430,Michelle Powell,87
99905,7829,6925,Jason Joseph,94
84441,4726,2461,Dana Williams,71
12561,3633,6779,Jennifer Harrison,96
90415,5744,4030,Deanna Bean,33
18435,5757,4953,Mrs. Jennifer Cook,33
97926,8504,2907,Patricia Thompson,19
54114,3518,5668,Ryan Pierce,65
38967,1081,2456,Matthew Spencer,34
3461,150,3283,David Lopez,83
52206,7710,6775,Amy Bauer,89
47266,3802,8480,Julie Hartman,28
44072,5816,4598,Holly Allen,43
60494,7031,6635,Stacy Stewart,92
4476,1907,4523,Brenda Morris,94
62573,1563,9486,Gregory Villa,52
65029,4442,3307,Jacqueline Strickland,34
39787,8553,4107,Justin Green,77
83080,5039,2559,Jennifer Andrews,48
61511,8463,5610,Robert Roberts,74
23794,7543,8505,Mark Miller,32
70417,9982,2144,Joanna Hendricks,75
62045,3179,9513,Stephen Weaver,99
53333,4987,625,Patrick Hill,91
13871,9621,3393,James Oneill,65
40700,129,5799,Thomas Richards,71
64135,7563,9640,David Long,61
73556,4479,98,Derek Harris,51
89614,7911,5631,Anne Williams,28
69218,1730,413,Patrick Davis,23
35376,491,1701,Thomas Bowman,36
91821,3754,133,Selena Brown,86
24069,1812,2428,Donald Gonzalez,63
8639,3961,5025,Heather Thompson,46
11152,5054,3596,Heather Green,11
65919,4455,2245,Jeffrey Newman,97
87290,9925,1196,Gerald Roberts,72
42794,8390,1836,Kimberly Wagner,24
4354,9642,3328,Lisa Smith,84
26301,1140,2214,Matthew Rios,90
19852,229,2152,Kendra Smith,11
89126,9842,474,Shaun Gomez,88
84335,9502,5279,Roger Spencer,15
54401,9174,6123,Mr. Michael Cole,70
70735,1575,6934,Tara Patton,19
48168,8156,2196,William Nelson,96
10061,3296,1251,Stephanie Kirk,15
12172,3816,2434,Jacob Henson,23
68898,2774,3738,Lisa Thompson,65
39665,9611,5777,Kayla Hubbard,18
98012,2772,6877,Robert Nielsen,63
88410,294,4373,Shane Nelson,84
59641,6633,1888,Raymond Watson,82
25626,5489,1665,Andrew Hicks,37
57118,2616,8887,Hunter Miller,66
46363,6226,7607,Brian Blevins,34
83151,6255,3059,Kathy Byrd,15
55649,423,5,Michael Tanner,96
43365,9333,9765,Jennifer Watkins,87
90358,4833,3813,Jared Wright,35
96598,4764,8561,Margaret Smith,97
13298,144,6737,Logan Russell,24
88280,4144,7808,Kathy Hicks,75
58725,5152,221,Melanie King,50
81031,3847,8865,Tasha Allison,82
82660,4064,5867,Jamie Martin,16
32447,7508,5209,Keith Valdez,32
23737,3172,5205,Thomas Nelson,84
86725,3092,4361,Bruce Alexander,92
12588,806,4107,Matthew Cervantes,13
90991,5738,7465,Alexis Cannon,90
79421,9845,7456,Christy Lee,76
20149,1983,1374,Marc Hall,57
93914,8760,4256,Christopher Smith,12
68206,1620,23,Jeffrey Rivera,52
11783,5214,5716,Margaret Ross,86
26764,8459,6067,Eduardo Dennis,61
28451,6839,3268,William Cobb,41
